Rank,Name,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Website,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Pageviews,Worth,Page Size,Code to Text Ratio,Semrush Rank,Keywords,Organic Traffic,Cost (in USD),Adwords Keywords,Adwords Traffic,Adwords Buget (in USD)
1,Walmart,523964.0,14881,236495.0,321803.3,2200000,http://www.walmart.com,126.0,0.0,0/100,0/100,0/10,8730000.0,19120000.0,65536.0,0.68% (Text size 0.44Kb and  Code size 63.56Kb),15.0,29145287.0,190314352.0,124437628.0,37053.0,3949947.0,2396610.0
2,Amazon.com,280522.0,11588,225248.0,970680.1,798000,http://www.amazon.com,14.0,0.0,0/100,0/100,0/10,78570000.0,172070000.0,65536.0,0.27% (Text size 0.17Kb and  Code size 63.83Kb),3.0,91384723.0,950416767.0,724598977.0,79995.0,2943519.0,9398034.0
3,Exxon Mobil,264938.0,14340,362597.0,160696.3,74900,http://www.exxonmobil.com,27230.0,0.0,0/100,0/100,0/10,40400.0,88470.0,65536.0,12.92% (Text size 8.27Kb and  Code size 55.73Kb),,,,,,,
4,Apple,260174.0,55256,338516.0,1112640.8,137000,http://www.apple.com,51.0,0.0,0/100,0/100,0/10,21570000.0,47240000.0,65536.0,13.71% (Text size 8.77Kb and  Code size 55.22Kb),20.0,17897033.0,159102793.0,220655359.0,15095.0,3382490.0,3923068.0
5,CVS Health,256776.0,6634,222449.0,77375.8,290000,http://www.cvshealth.com,31978.0,0.0,0/100,0/100,0/10,34400.0,75330.0,65536.0,23.26% (Text size 14.88Kb and  Code size 49.11Kb),,,,,,,
6,Berkshire Hathaway,254616.0,81417,817729.0,442897.1,391500,http://www.berkshirehathaway.com,56515.0,0.0,0/100,0/100,0/10,19460.0,42620.0,8017.92,100% (Text size 7.83Kb and  Code size 0Kb),,,,,,,
7,UnitedHealth Group,242155.0,13839,173889.0,236555.2,325000,http://www.unitedhealthgroup.com,25580.0,0.0,0/100,0/100,0/10,43000.0,94180.0,65536.0,18.54% (Text size 11.87Kb and  Code size 52.13Kb),10993.0,15919.0,133787.0,459981.0,173.0,2898.0,1324.0
8,McKesson,214319.0,34,59672.0,21845,70000,http://www.mckesson.com,19965.0,0.0,0/100,0/100,0/10,55100.0,120660.0,65536.0,7.02% (Text size 4.5Kb and  Code size 59.5Kb),6097.0,267940.0,445289.0,844015.0,77.0,240.0,853.0
9,AT&T,181193.0,13903,551669.0,209387.5,247800,http://www.att.com,652.0,0.0,0/100,0/100,0/10,1690000.0,3690000.0,65536.0,0.13% (Text size 0.09Kb and  Code size 63.91Kb),116.0,2308219.0,26424054.0,61702263.0,52348.0,3111032.0,7534493.0
10,AmerisourceBergen,179589.1,855.4,39172.0,18221.4,21500,http://www.amerisourcebergen.com,77922.0,0.0,0/100,0/100,0/10,14120.0,30920.0,45772.8,27.45% (Text size 12.27Kb and  Code size 32.43Kb),,,,,,,
