,Rank,Company,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Domain,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Page Views,Domain Worth,Code Size,Text to Code Ratio,Semrush Rank,Organic Keywords,Organic Traffic,Opportunity Cost,Adwords Keywords,Adwords Traffic,Adwords Budget
0,1,Walmart,523964.0,14881,236495.0,321803.3,2200000,walmart.com,126,0,0/,0/,0/,8.73M,19.12M,,'0.68%,15,29145287,190314352,124437628$,37053,3949947,2396610$
1,2,Amazon.com,280522.0,11588,225248.0,970680.1,798000,amazon.com,14,0,0/,0/,0/,78.57M,172.07M,,'0.68%,3,91384723,950416767,724598977$,79995,2943519,9398034$
2,3,Exxon Mobil,264938.0,14340,362597.0,160696.3,74900,exxonmobil.com,27230,0,0/,0/,0/,40.4K,88.47K,,'0.68%,,,,,,,
3,4,Apple,260174.0,55256,338516.0,1112640.8,137000,apple.com,51,0,0/,0/,0/,21.57M,47.24M,,'0.68%,20,17897033,159102793,220655359$,15095,3382490,3923068$
4,5,CVS Health,256776.0,6634,222449.0,77375.8,290000,cvshealth.com,31978,0,0/,0/,0/,34.4K,75.33K,,'0.68%,,,,,,,
5,6,Berkshire Hathaway,254616.0,81417,817729.0,442897.1,391500,berkshirehathaway.com,56515,0,0/,0/,0/,19.46K,42.62K,,'0.68%,,,,,,,
6,7,UnitedHealth Group,242155.0,13839,173889.0,236555.2,325000,unitedhealthgroup.com,25580,0,0/,0/,0/,43K,94.18K,,'0.68%,10993,15919,133787,459981$,173,2898,1324$
7,8,McKesson,214319.0,34,59672.0,21845,70000,mckesson.com,19965,0,0/,0/,0/,55.1K,120.66K,,'0.68%,6097,267940,445289,844015$,77,240,853$
8,9,AT&T,181193.0,13903,551669.0,209387.5,247800,att.com,652,0,0/,0/,0/,1.69M,3.69M,,'0.68%,116,2308219,26424054,61702263$,52348,3111032,7534493$
9,10,AmerisourceBergen,179589.1,855.4,39172.0,18221.4,21500,amerisourcebergen.com,77922,0,0/,0/,0/,14.12K,30.92K,,'0.68%,,,,,,,
10,11,Alphabet,161857.0,34343,275909.0,798905.3,118899,google.com,1,480097599,88,95,8.,1.1B,2.41B,,'0.68%,4,472896723,633234962,2536338544$,22260,3854693,66692061$
11,12,Ford Motor,155900.0,47,258537.0,19150.6,190000,ford.com,3492,0,0/,0/,0/,315.01K,689.86K,,'0.68%,,,,,,,
12,13,Cigna,153566.0,5104,155774.0,65896.7,73700,cigna.com,5855,0,0/,0/,0/,187.87K,411.44K,,'0.68%,1967,239189,919250,1757762$,52,625,6737$
13,14,Costco Wholesale,152703.0,3659,45400.0,125907.7,201500,costco.com,638,0,0/,0/,0/,1.72M,3.78M,,'0.68%,87,4398365,32423794,24748016$,96,3586,4182$
14,15,Chevron,146516.0,2924,237428.0,136175.9,48200,chevron.com,26418,0,0/,0/,0/,41.64K,91.18K,,'0.68%,,,,,,,
15,16,Cardinal Health,145534.0,1363,40963.0,13988.1,49500,cardinal.com,2338962,0,0/,0/,0/,470,1.03K,,'0.68%,3040985,267,97,36$,0,0,0$
16,17,JPMorgan Chase,142422.0,36431,2687379.0,276750.1,256981,jpmorganchase.com,4499,0,0/,0/,0/,244.5K,535.45K,,'0.68%,,,,,,,
17,18,General Motors,137237.0,6732,228037.0,29694.7,164000,gm.com,9892,0,0/,0/,0/,111.2K,243.53K,,'0.68%,3516,165655,703651,735998$,406,4640,2900$
18,19,Walgreens Boots Alliance,136866.0,3982,67598.0,40528.2,287000,walgreensbootsalliance.com,446289,62,44,49,5.,2.46K,5.39K,,'0.68%,21212,5175,56913,15499$,0,0,0$
19,20,Verizon Communications,131868.0,19265,291727.0,222220,135000,verizon.com,1537,0,0/,0/,0/,715.68K,1.57M,,'0.68%,,,,,,,
20,21,Microsoft,125843.0,39240,286556.0,1199549.7,144000,microsoft.com,28,0,0/,0/,0/,39.29M,86.04M,,'0.68%,66,9387606,41840715,61131922$,57874,1852028,13986160$
21,22,Marathon Petroleum,124813.0,2637,98556.0,15353,60910,marathonpetroleum.com,236834,0,0/,0/,0/,4.64K,10.17K,,'0.68%,,,,,,,
22,23,Kroger,122286.0,1659,45256.0,24113.7,435000,thekrogerco.com,325763,79,40,52,3.,3.38K,7.39K,,'0.68%,23306,5986,52238,72203$,0,0,0$
